Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Gentle Mates vs EDward Gaming,Gentle Mates,EDward Gaming,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,Xi Lai Gaming vs NRG,Xi Lai Gaming,Mega Minors,0,2,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 1,T1 vs Team Liquid,T1,Team Liquid,0,2,Team Liquid won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Paper Rex vs NRG,Paper Rex,Mega Minors,2,1,Paper Rex won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (1-0),Gentle Mates vs Team Liquid,Gentle Mates,Team Liquid,2,0,Gentle Mates won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),EDward Gaming vs T1,EDward Gaming,T1,0,2,T1 won
Valorant Masters Santiago 2026,Swiss Stage,Round 2 (0-1),Xi Lai Gaming vs G2 Esports,Xi Lai Gaming,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,NRG vs Team Liquid,Mega Minors,Team Liquid,2,0,NRG won
Valorant Masters Santiago 2026,Swiss Stage,Round 3,G2 Esports vs T1,G2 Esports,T1,2,0,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,FURIA vs Paper Rex,FURIA,Paper Rex,1,2,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,Nongshim RedForce vs Gentle Mates,Nongshim RedForce,Gentle Mates,2,0,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,BBL Esports vs NRG,BBL Esports,Mega Minors,1,2,NRG won
Valorant Masters Santiago 2026,Playoffs,Upper Quarterfinals,All Gamers vs G2 Esports,All Gamers,G2 Esports,0,2,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,FURIA vs BBL Esports,FURIA,BBL Esports,1,2,BBL Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 1,Gentle Mates vs All Gamers,Gentle Mates,All Gamers,1,2,All Gamers won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Nongshim RedForce vs G2 Esports,Nongshim RedForce,G2 Esports,2,1,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Upper Semifinals,Paper Rex vs NRG,Paper Rex,Mega Minors,0,2,NRG won
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,G2 Esports vs BBL Esports,G2 Esports,BBL Esports,2,0,G2 Esports won
Valorant Masters Santiago 2026,Playoffs,Lower Round 2,Paper Rex vs All Gamers,Paper Rex,All Gamers,2,1,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Upper Final,Nongshim RedForce vs NRG,Nongshim RedForce,Mega Minors,2,0,Nongshim RedForce won
Valorant Masters Santiago 2026,Playoffs,Lower Round 3,Paper Rex vs G2 Esports,Paper Rex,G2 Esports,2,1,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Lower Final,NRG vs Paper Rex,Mega Minors,Paper Rex,1,3,Paper Rex won
Valorant Masters Santiago 2026,Playoffs,Grand Final,Nongshim RedForce vs Paper Rex,Nongshim RedForce,Paper Rex,3,0,Nongshim RedForce won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,Evil Geniuses,2,1,ENVY won
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,Cloud9,0,2,Cloud9 won
